VICTIMA_PERUANA,EDAD_VICTIMA,VICTIMA_GESTANDO,N_HIJOS,ESTADO_CIVIL_VICTIMA,ESTUDIA,TRABAJA_VICTIMA,TIENE_SEGURO,DIST_DOMICILIO
1,1,0,0,1,0,0,1,Santa Anita
1,15,0,0,1,0,0,1,Comas
1,15,0,0,1,0,0,1,Comas
1,15,0,0,1,0,0,1,Comas
1,18,0,0,1,0,0,1,Carabayllo
1,18,0,0,1,0,0,1,Carabayllo
1,18,0,0,1,0,0,1,Carabayllo
1,18,0,0,1,0,0,1,Carabayllo
1,36,0,1,1,0,0,1,Carabayllo
1,9,0,0,1,1,0,1,Carabayllo
1,9,0,0,1,1,0,1,Carabayllo
1,9,0,0,1,1,0,1,Carabayllo
1,9,0,0,1,1,0,1,Carabayllo
1,41,0,1,1,0,0,1,Carabayllo
1,21,0,0,1,0,1,0,Carabayllo
1,30,0,1,1,0,0,1,Carabayllo
1,7,0,0,1,1,0,1,Carabayllo
1,21,0,1,1,0,1,1,Carabayllo
1,10,0,0,1,1,0,1,Carabayllo
1,10,0,0,1,1,0,1,Carabayllo
1,10,0,0,1,1,0,1,Carabayllo
1,10,0,0,1,1,0,1,Carabayllo
1,19,0,0,1,0,0,1,Carabayllo
1,19,0,0,1,0,0,1,Carabayllo
1,15,0,0,1,0,0,1,Carabayllo
1,15,0,0,1,0,0,1,Carabayllo
1,32,0,1,1,0,0,1,Carabayllo
1,10,0,0,1,0,0,0,Carabayllo
1,11,0,0,1,0,0,1,Carabayllo
1,11,0,0,1,0,0,1,Carabayllo
1,6,0,0,1,0,0,0,Carabayllo
1,6,0,0,1,0,0,0,Carabayllo
1,3,0,0,1,0,0,0,Carabayllo
1,3,0,0,1,0,0,0,Carabayllo
1,31,0,0,1,0,0,0,Carabayllo
1,40,0,0,1,0,0,1,Carabayllo
1,13,0,0,1,1,0,1,Carabayllo
0,23,0,0,1,0,0,0,Carabayllo
1,6,0,0,1,1,0,1,Carabayllo
1,6,0,0,1,1,0,1,Carabayllo
1,6,0,0,1,1,0,1,Carabayllo
1,41,0,0,1,0,1,1,Carabayllo
1,41,0,0,1,0,1,1,Carabayllo
1,74,0,0,1,0,0,0,Carabayllo
1,14,0,0,1,0,0,1,Carabayllo
1,38,0,0,1,0,0,0,Carabayllo
1,22,0,0,1,0,0,1,Carabayllo
1,23,0,0,1,0,0,0,Carabayllo
1,19,0,0,1,0,0,0,Carabayllo
1,50,0,1,1,0,0,1,Carabayllo
1,23,0,1,1,0,0,0,San Miguel
1,33,1,0,1,0,0,1,Carabayllo
1,27,0,1,1,0,1,0,Carabayllo
1,6,0,0,1,0,0,0,Carabayllo
1,10,0,0,1,1,0,0,San Miguel
1,23,1,0,1,0,1,1,Carabayllo
1,31,0,1,1,0,0,0,Carabayllo
1,45,0,1,1,0,0,1,Carabayllo
1,11,0,0,1,1,0,1,San Martin de Porres
1,4,0,0,1,1,0,1,Carabayllo
1,13,0,0,1,1,0,1,San Juan de Lurigancho
1,27,0,1,1,0,0,1,Carabayllo
1,26,0,1,1,0,0,1,Carabayllo
1,13,0,0,1,1,0,1,Carabayllo
1,30,0,0,1,0,1,1,Carabayllo
1,34,0,0,1,0,0,1,Carabayllo
